date,position,seniority_number,birthdate,changes_id,serial_number,instructions,datetime_collected
2020-03-11,236,20047001,2020-03-18,424503,12087663,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,471,20057002,1963-08-25,31691,12135831,,2020-03-11 23:00
2020-03-11,40,20036037,1974-10-31,46147,12038705,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,45,20036043,1976-06-13,411484,12039967,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,219,20046020,1979-11-10,420813,12085516,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,385,20053026,1951-11-24,31968,12116037,,2020-03-11 23:00
2020-03-11,262,20050001,1989-10-07,413663,12099300,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,847,20070007,1957-07-04,412474,12192744,,2020-03-11 23:00
2020-03-11,337,20052006,1989-10-21,409552,12111579,,2020-03-11 23:00
2020-03-11,193,20045007,1971-02-10,17363,12080244,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,878,20070039,1987-02-20,334562,12193258,,2020-03-11 23:00
2020-03-11,58,20037020,1962-02-26,38393,12041338,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,438,20056008,1958-04-29,274369,12129459,,2020-03-11 23:00
2020-03-11,436,20056006,1963-03-11,424561,12129131,,2020-03-11 23:00
2020-03-11,228,20046032,1971-12-08,417050,12086022,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,899,20071008,1982-03-12,306871,12197151,,2020-03-11 23:00
2020-03-11,733,20065012,1989-01-12,362128,12170737,,2020-03-11 23:00
2020-03-11,155,20043020,2019-11-13,417763,12070548,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,4,20035012,1971-07-28,44665,12034031,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,663,20063011,1980-10-09,424910,12164064,,2020-03-11 23:00
2020-03-11,547,20059003,1975-01-05,418887,12144039,,2020-03-11 23:00
2020-03-11,247,20048001,1981-01-22,381782,12092908,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,708,20064022,1964-08-14,334243,12170196,,2020-03-11 23:00
2020-03-11,451,20056021,1959-06-11,288200,12129185,,2020-03-11 23:00
2020-03-11,28,20036018,1973-03-28,323209,12040013,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,911,20071020,1950-08-17,406933,12197115,,2020-03-11 23:00
2020-03-11,769,20066009,1959-03-05,44087,12177285,,2020-03-11 23:00
2020-03-11,90,20039003,1954-09-01,35254,12051553,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,631,20061029,1952-11-28,40272,12154627,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,548,20059004,1962-05-24,53190,12143390,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,925,20071035,1987-11-30,424752,12197708,,2020-03-11 23:00
2020-03-11,667,20063015,1975-09-25,17828,12161259,,2020-03-11 23:00
2020-03-11,684,20063032,1973-03-01,324436,12161186,,2020-03-11 23:00
2020-03-11,398,20054010,1982-06-14,35584,12120518,,2020-03-11 23:00
2020-03-11,754,20065033,1985-08-03,307219,12170901,,2020-03-11 23:00
2020-03-11,220,20046021,1964-12-04,382598,12085489,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,898,20071007,1955-03-12,408960,12199263,,2020-03-11 23:00
2020-03-11,216,20046015,1994-02-08,356683,12086704,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,582,20060005,1953-04-09,42378,12149225,,2020-03-11 23:00
2020-03-11,609,20061007,1951-02-14,46885,12154546,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,615,20061013,1974-05-08,349651,12154607,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,497,20057030,1970-10-22,358550,12135883,,2020-03-11 23:00
2020-03-11,963,20072036,1965-02-19,6782,12203166,,2020-03-11 23:00
2020-03-11,612,20061010,1956-03-25,33000,12154584,,2020-03-11 23:00
2020-03-11,757,20065036,1968-03-30,378849,12175051,,2020-03-11 23:00
2020-03-11,852,20070012,1971-09-19,403699,12191454,,2020-03-11 23:00
2020-03-11,950,20072023,1981-12-01,369682,12202467,,2020-03-11 23:00
2020-03-11,835,20069004,1960-11-10,288211,12188208,,2020-03-11 23:00
2020-03-11,356,20052025,1964-01-25,402249,12110082,,2020-03-11 23:00
2020-03-11,766,20066006,1972-04-08,414486,12177878,,2020-03-11 23:00
2020-03-11,636,20061034,1943-10-30,318779,12154598,,2020-03-11 23:00
2020-03-11,743,20065022,1951-12-20,25072,12171643,,2020-03-11 23:00
2020-03-11,808,20067018,1986-03-01,398976,12182624,,2020-03-11 23:00
2020-03-11,500,20057033,1961-01-30,329182,12132067,,2020-03-11 23:00
2020-03-11,744,20065023,1968-08-03,389105,12171334,,2020-03-11 23:00
2020-03-11,39,20036035,1993-04-05,423258,12038488,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,375,20053016,1987-03-27,420955,12116828,,2020-03-11 23:00
2020-03-11,623,20061021,1977-02-10,392842,12154561,,2020-03-11 23:00
2020-03-11,540,20058025,1974-07-20,41569,12138881,,2020-03-11 23:00
2020-03-11,710,20064024,1981-12-04,395070,12169962,,2020-03-11 23:00
2020-03-11,690,20064004,1974-05-21,28987,12167798,,2020-03-11 23:00
2020-03-11,834,20069003,1956-12-14,36434,12190114,,2020-03-11 23:00
2020-03-11,150,20043010,1980-12-11,24092,12069261,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,85,20038033,1989-05-23,313580,12049506,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,529,20058014,1956-08-12,424749,12139472,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,382,20053023,1973-09-11,370703,12118465,,2020-03-11 23:00
2020-03-11,905,20071014,1964-04-05,49218,12197871,,2020-03-11 23:00
2020-03-11,624,20061022,1958-07-05,47926,12154673,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,480,20057012,1969-10-17,12894,12135902,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,644,20062007,1994-10-18,403232,12156529,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,76,20038016,1970-04-04,408237,12045901,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,803,20067013,1947-03-11,44629,12184344,,2020-03-11 23:00
2020-03-11,161,20043031,1988-04-19,417118,12070780,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,417,20054029,1954-05-06,391384,12120452,,2020-03-11 23:00
2020-03-11,929,20072002,1958-03-29,387903,12201193,,2020-03-11 23:00
2020-03-11,600,20060024,1970-07-29,22676,12151575,,2020-03-11 23:00
2020-03-11,584,20060007,1977-09-31,394654,12151790,,2020-03-11 23:00
2020-03-11,926,20071036,1955-09-18,48069,12197239,,2020-03-11 23:00
2020-03-11,113,20040008,1959-05-20,371374,12055738,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,633,20061031,1946-02-27,413079,12154685,,2020-03-11 23:00
2020-03-11,361,20052030,1968-09-09,320217,12110727,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,32,20036025,1945-08-16,378042,12037033,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,30,20036023,1973-09-19,6521,12036128,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,50,20037003,1958-05-06,282129,12041039,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,54,20037015,1978-11-22,376791,12043248,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,44,20036042,1977-05-01,368763,12036079,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,539,20058024,1954-03-10,36884,12137724,,2020-03-11 23:00
2020-03-11,650,20062013,1971-05-17,424849,12158242,,2020-03-11 23:00
2020-03-11,392,20054004,1950-06-09,24576,12120487,,2020-03-11 23:00
2020-03-11,587,20060011,1954-11-23,29342,12148099,,2020-03-11 23:00
2020-03-11,721,20064035,1967-09-16,317825,12167269,,2020-03-11 23:00
2020-03-11,637,20061035,1931-03-02,420539,12154642,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,47,20036046,1972-09-28,282240,12039606,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,183,20044024,1988-05-06,302079,12076322,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,24,20036013,1986-12-25,420788,12038011,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,865,20070026,1962-08-03,19817,12192653,,2020-03-11 23:00
2020-03-11,635,20061033,1973-03-21,413370,12156103,,2020-03-11 23:00
2020-03-11,611,20061009,1952-04-21,416834,12154636,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,350,20052019,1984-11-23,331973,12110646,,2020-03-11 23:00
2020-03-11,211,20046007,1968-07-01,414643,12086008,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,850,20070010,1959-11-07,425015,12193277,,2020-03-11 23:00
2020-03-11,675,20063023,1987-03-23,334513,12164698,,2020-03-11 23:00
2020-03-11,639,20062002,1968-09-24,38719,12156505,,2020-03-11 23:00
2020-03-11,111,20040002,1955-03-22,424385,12056688,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,290,20050034,1978-08-06,395738,12098953,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,936,20072009,1988-08-05,425147,12202095,,2020-03-11 23:00
2020-03-11,256,20049005,1995-04-19,373559,12095203,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,409,20054021,1994-06-08,420313,12121876,,2020-03-11 23:00
2020-03-11,395,20054007,1967-07-25,421715,12121936,,2020-03-11 23:00
2020-03-11,575,20059032,1965-10-18,407966,12146243,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,534,20058019,1980-10-03,8562,12141208,,2020-03-11 23:00
2020-03-11,253,20049001,1962-08-14,348924,12095687,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,645,20062008,1962-01-21,313919,12157830,,2020-03-11 23:00
2020-03-11,318,20051027,1984-08-12,351516,12105939,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,357,20052026,1951-07-11,372203,12110405,,2020-03-11 23:00
2020-03-11,625,20061023,1960-12-16,370513,12154484,,2020-03-11 23:00
2020-03-11,269,20050008,1970-08-14,421394,12101707,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,100,20039023,1968-01-26,333318,12053053,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
2020-03-11,434,20056004,1980-01-01,38979,12130017,"Please call 311 between 8:30AM and 4:30PM, Mon to Fri",2020-03-11 23:00
